"","year","state","state_po","state_fips","state_cen","state_ic","office","candidate","party_detailed","writein","candidatevotes","totalvotes","version","notes","party_simplified"
"61",1976,"GEORGIA","GA",13,58,44,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,979409,1463152,20210113,NA,"DEMOCRAT"
"62",1976,"GEORGIA","GA",13,58,44,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,483743,1463152,20210113,NA,"REPUBLICAN"
"63",1976,"HAWAII","HI",15,95,82,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,147375,291301,20210113,NA,"DEMOCRAT"
"64",1976,"HAWAII","HI",15,95,82,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,140003,291301,20210113,NA,"REPUBLICAN"
"65",1976,"HAWAII","HI",15,95,82,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,3923,291301,20210113,NA,"LIBERTARIAN"
"66",1976,"IDAHO","ID",16,82,63,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,204151,340932,20210113,NA,"REPUBLICAN"
"67",1976,"IDAHO","ID",16,82,63,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,126549,340932,20210113,NA,"DEMOCRAT"
"68",1976,"IDAHO","ID",16,82,63,"US PRESIDENT","MADDOX, LESTER","AMERICAN",FALSE,5935,340932,20210113,NA,"OTHER"
"69",1976,"IDAHO","ID",16,82,63,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,3558,340932,20210113,NA,"LIBERTARIAN"
"70",1976,"IDAHO","ID",16,82,63,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,739,340932,20210113,NA,"OTHER"
"71",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,2364269,4721282,20210113,NA,"REPUBLICAN"
"72",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,2271295,4721282,20210113,NA,"DEMOCRAT"
"73",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,55939,4721282,20210113,NA,"OTHER"
"74",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","HALL, GUS","COMMUNIST PARTY USE",FALSE,9250,4721282,20210113,NA,"OTHER"
"75",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,8057,4721282,20210113,NA,"LIBERTARIAN"
"76",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","","",TRUE,4417,4721282,20210113,NA,"OTHER"
"77",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,3615,4721282,20210113,NA,"OTHER"
"78",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","JULIUS """"JULES"""", LEVIN","SOCIALIST LABOR",FALSE,2422,4721282,20210113,NA,"OTHER"
"79",1976,"ILLINOIS","IL",17,33,21,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,2018,4721282,20210113,NA,"OTHER"
"80",1976,"INDIANA","IN",18,32,22,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,1183958,2220362,20210113,NA,"REPUBLICAN"
"81",1976,"INDIANA","IN",18,32,22,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,1014714,2220362,20210113,NA,"DEMOCRAT"
"82",1976,"INDIANA","IN",18,32,22,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,14048,2220362,20210113,NA,"OTHER"
"83",1976,"INDIANA","IN",18,32,22,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,5695,2220362,20210113,NA,"OTHER"
"84",1976,"INDIANA","IN",18,32,22,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,1947,2220362,20210113,NA,"OTHER"
"85",1976,"IOWA","IA",19,42,31,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,632864,1279303,20210113,NA,"REPUBLICAN"
"86",1976,"IOWA","IA",19,42,31,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,619931,1279303,20210113,NA,"DEMOCRAT"
"87",1976,"IOWA","IA",19,42,31,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,20057,1279303,20210113,NA,"OTHER"
"88",1976,"IOWA","IA",19,42,31,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN PARTY OF IOWA",FALSE,3041,1279303,20210113,NA,"OTHER"
"89",1976,"IOWA","IA",19,42,31,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,1454,1279303,20210113,NA,"LIBERTARIAN"
"90",1976,"IOWA","IA",19,42,31,"US PRESIDENT","HALL, GUS","COMMUNIST PARTY USE",FALSE,551,1279303,20210113,NA,"OTHER"
"91",1976,"IOWA","IA",19,42,31,"US PRESIDENT","SCATTERING","",FALSE,509,1279303,20210113,NA,"OTHER"
"92",1976,"IOWA","IA",19,42,31,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,262,1279303,20210113,NA,"OTHER"
"93",1976,"IOWA","IA",19,42,31,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,241,1279303,20210113,NA,"OTHER"
"94",1976,"IOWA","IA",19,42,31,"US PRESIDENT","ZEIDLER, FRANK","SOCIALIST U.S.A.",FALSE,233,1279303,20210113,NA,"OTHER"
