year,state,new_party,region,party_total
1980,MISSISSIPPI,Republican,Southeast,0.49463302495093914
1980,MISSISSIPPI,Third_Party,Southeast,0.023975329408466497
1980,MISSOURI,Democrat,Midwest,0.4434571659339068
1980,MISSOURI,Republican,Midwest,0.511557635306578
1980,MISSOURI,Third_Party,Midwest,0.04498519875951508
1980,MONTANA,Democrat,Rocky Mountain,0.32430650195630195
1980,MONTANA,Republican,Rocky Mountain,0.5682452631116192
1980,MONTANA,Third_Party,Rocky Mountain,0.10744823493207895
1980,NEBRASKA,Democrat,Midwest,0.2602273846697512
1980,NEBRASKA,Republican,Midwest,0.6555001852914548
1980,NEBRASKA,Third_Party,Midwest,0.08427243003879392
1980,NEVADA,Democrat,Rocky Mountain,0.2735666332912037
1980,NEVADA,Republican,Rocky Mountain,0.6361185430789685
1980,NEVADA,Third_Party,Rocky Mountain,0.09031482362982782
1980,NEW HAMPSHIRE,Democrat,Northeast,0.28350738300476575
1980,NEW HAMPSHIRE,Republican,Northeast,0.5773718065574625
1980,NEW HAMPSHIRE,Third_Party,Northeast,0.1391208104377718
1980,NEW JERSEY,Democrat,Northeast,0.3855799204485422
1980,NEW JERSEY,Republican,Northeast,0.5197315978443948
1980,NEW JERSEY,Third_Party,Northeast,0.09468848170706298
1980,NEW MEXICO,Democrat,Southwest,0.36784828937591646
1980,NEW MEXICO,Republican,Southwest,0.5496682645204137
1980,NEW MEXICO,Third_Party,Southwest,0.0824834461036698
1980,NEW YORK,Democrat,Northeast,0.4399209991552669
1980,NEW YORK,Republican,Northeast,0.4253011024419865
1980,NEW YORK,Third_Party,Northeast,0.13477789840274668
1980,NORTH CAROLINA,Democrat,Southeast,0.47182855353903075
1980,NORTH CAROLINA,Republican,Southeast,0.49304975178262267
1980,NORTH CAROLINA,Third_Party,Southeast,0.03512169467834659
1980,NORTH DAKOTA,Democrat,Midwest,0.262985029025359
1980,NORTH DAKOTA,Republican,Midwest,0.6432570836488264
1980,NORTH DAKOTA,Third_Party,Midwest,0.09375788732581464
1980,OHIO,Democrat,Midwest,0.40909813537809175
1980,OHIO,Republican,Midwest,0.5151142624561613
1980,OHIO,Third_Party,Midwest,0.07578760216574693
1980,OKLAHOMA,Democrat,Southwest,0.3496766135401337
1980,OKLAHOMA,Republican,Southwest,0.6049970949145348
1980,OKLAHOMA,Third_Party,Southwest,0.045326291545331514
1980,OREGON,Democrat,Pacific,0.3866981065004621
1980,OREGON,Republican,Pacific,0.48331465676300617
1980,OREGON,Third_Party,Pacific,0.12998723673653173
1980,PENNSYLVANIA,Democrat,Northeast,0.4247593062020594
1980,PENNSYLVANIA,Republican,Northeast,0.49586134037896734
1980,PENNSYLVANIA,Third_Party,Northeast,0.07937935341897327
1980,RHODE ISLAND,Democrat,Northeast,0.4768214786269103
1980,RHODE ISLAND,Republican,Northeast,0.3721280774676837
1980,RHODE ISLAND,Third_Party,Northeast,0.15105044390540598
1980,SOUTH CAROLINA,Democrat,Southeast,0.4820896631384125
1980,SOUTH CAROLINA,Republican,Southeast,0.4945376230779796
1980,SOUTH CAROLINA,Third_Party,Southeast,0.023372713783607918
1980,SOUTH DAKOTA,Democrat,Midwest,0.3169180630021696
1980,SOUTH DAKOTA,Republican,Midwest,0.605252316884496
1980,SOUTH DAKOTA,Third_Party,Midwest,0.07782962011333433
1980,TENNESSEE,Democrat,Southeast,0.4840771851910466
1980,TENNESSEE,Republican,Southeast,0.48698887745917446
1980,TENNESSEE,Third_Party,Southeast,0.028933937349778935
1980,TEXAS,Democrat,Southwest,0.414200301389191
1980,TEXAS,Republican,Southwest,0.5528195126161586
1980,TEXAS,Third_Party,Southwest,0.032980185994650385
1980,UTAH,Democrat,Rocky Mountain,0.20568664839311962
1980,UTAH,Republican,Rocky Mountain,0.7277754604801441
1980,UTAH,Third_Party,Rocky Mountain,0.06653789112673632
1980,VERMONT,Democrat,Northeast,0.3842118340920492
1980,VERMONT,Republican,Northeast,0.4436401483363729
1980,VERMONT,Third_Party,Northeast,0.1721480175715779
1980,VIRGINIA,Democrat,Southeast,0.40308740686118993
1980,VIRGINIA,Republican,Southeast,0.5303279900880585
1980,VIRGINIA,Third_Party,Southeast,0.06658460305075155
1980,WASHINGTON,Democrat,Pacific,0.3731607202504141
1980,WASHINGTON,Republican,Pacific,0.4965834363525127
1980,WASHINGTON,Third_Party,Pacific,0.13025584339707322
1980,WEST VIRGINIA,Democrat,Southeast,0.49810834807479853
1980,WEST VIRGINIA,Republican,Southeast,0.45302860860901567
1980,WEST VIRGINIA,Third_Party,Southeast,0.04886304331618579
1980,WISCONSIN,Democrat,Midwest,0.4318031550825899
1980,WISCONSIN,Republican,Midwest,0.47898774470234085
1980,WISCONSIN,Third_Party,Midwest,0.0892091002150693
1980,WYOMING,Democrat,Rocky Mountain,0.27970211586018007
1980,WYOMING,Republican,Rocky Mountain,0.6264394809663126
1980,WYOMING,Third_Party,Rocky Mountain,0.09385840317350733
1984,ALABAMA,Democrat,Southeast,0.38280781265064545
1984,ALABAMA,Republican,Southeast,0.6054249354760621
1984,ALABAMA,Third_Party,Southeast,0.011767251873292396
1984,ALASKA,Democrat,Pacific,0.29867777751017555
1984,ALASKA,Republican,Pacific,0.666539823221984
1984,ALASKA,Third_Party,Pacific,0.03478239926784037
1984,ARIZONA,Democrat,Southwest,0.32542643169830887
1984,ARIZONA,Republican,Southwest,0.6642148285841561
1984,ARIZONA,Third_Party,Southwest,0.010358739717534997
1984,ARKANSAS,Democrat,Southeast,0.38290785001458605
1984,ARKANSAS,Republican,Southeast,0.6046702532547269
1984,ARKANSAS,Third_Party,Southeast,0.012421896730687039
1984,CALIFORNIA,Democrat,Pacific,0.41267775699231596
1984,CALIFORNIA,Republican,Pacific,0.5751694285169312
1984,CALIFORNIA,Third_Party,Pacific,0.012152814490752855
1984,COLORADO,Democrat,Rocky Mountain,0.3512289830011271
1984,COLORADO,Republican,Rocky Mountain,0.6344215596967685
1984,COLORADO,Third_Party,Rocky Mountain,0.0143494573021044
1984,CONNECTICUT,Democrat,Northeast,0.3882998159383734
1984,CONNECTICUT,Republican,Northeast,0.6073195173495126
1984,CONNECTICUT,Third_Party,Northeast,0.004380666712113982
1984,DELAWARE,Democrat,Northeast,0.3993212136448627
1984,DELAWARE,Republican,Northeast,0.5978269409047342
1984,DELAWARE,Third_Party,Northeast,0.0028518454504030295
1984,DISTRICT OF COLUMBIA,Democrat,Northeast,0.853848775131574
1984,DISTRICT OF COLUMBIA,Republican,Northeast,0.137296013024876
1984,DISTRICT OF COLUMBIA,Third_Party,Northeast,0.008855211843550035
1984,FLORIDA,Democrat,Southeast,0.3466024696827862
1984,FLORIDA,Republican,Southeast,0.653185810412361
1984,FLORIDA,Third_Party,Southeast,2.1171990485283553e-4
1984,GEORGIA,Democrat,Southeast,0.3978530524412154
1984,GEORGIA,Republican,Southeast,0.6017229856601785
1984,GEORGIA,Third_Party,Southeast,4.2396189860610564e-4
1984,HAWAII,Democrat,Pacific,0.43815915627996166
1984,HAWAII,Republican,Pacific,0.5509965877217534
1984,HAWAII,Third_Party,Pacific,0.010844255998284928
1984,IDAHO,Democrat,Rocky Mountain,0.2639221294728854
1984,IDAHO,Republican,Rocky Mountain,0.723646702858366
1984,IDAHO,Third_Party,Rocky Mountain,0.012431167668748662
1984,ILLINOIS,Democrat,Midwest,0.43296553206747834
1984,ILLINOIS,Republican,Midwest,0.5617459154097206
1984,ILLINOIS,Third_Party,Midwest,0.005288552522800995
1984,INDIANA,Democrat,Midwest,0.3768271378985602
1984,INDIANA,Republican,Midwest,0.6167431458678617
1984,INDIANA,Third_Party,Midwest,0.006429716233578094
1984,IOWA,Democrat,Midwest,0.4588708180375131
1984,IOWA,Republican,Midwest,0.5327211216808544
1984,IOWA,Third_Party,Midwest,0.008408060281632513
1984,KANSAS,Democrat,Midwest,0.32598036577621525
1984,KANSAS,Republican,Midwest,0.66272207876586
1984,KANSAS,Third_Party,Midwest,0.011297555457924775
1984,KENTUCKY,Democrat,Southeast,0.39401246581394755
1984,KENTUCKY,Republican,Southeast,0.6000693762346231
1984,KENTUCKY,Third_Party,Southeast,0.005918157951429333
1984,LOUISIANA,Democrat,Southeast,0.38175392630280136
1984,LOUISIANA,Republican,Southeast,0.6077370692433072
1984,LOUISIANA,Third_Party,Southeast,0.010509004453891501
1984,MAINE,Democrat,Northeast,0.3878104074165136
1984,MAINE,Republican,Northeast,0.6083406852465181
1984,MAINE,Third_Party,Northeast,0.003848907336968312
1984,MARYLAND,Democrat,Northeast,0.4701639086016661
1984,MARYLAND,Republican,Northeast,0.5250505259050059
1984,MARYLAND,Third_Party,Northeast,0.004785565493327955
1984,MASSACHUSETTS,Democrat,Northeast,0.4843378267340214
1984,MASSACHUSETTS,Republican,Northeast,0.5122078250890938
1984,MASSACHUSETTS,Third_Party,Northeast,0.0034543481768848196
1984,MICHIGAN,Democrat,Midwest,0.4023607594370667
1984,MICHIGAN,Republican,Midwest,0.5922602717025045
1984,MICHIGAN,Third_Party,Midwest,0.005378968860428792
1984,MINNESOTA,Democrat,Midwest,0.49718846563288427
1984,MINNESOTA,Republican,Midwest,0.49538415187898577
1984,MINNESOTA,Third_Party,Midwest,0.007427382488129956
1984,MISSISSIPPI,Democrat,Southeast,0.3742328159268264
1984,MISSISSIPPI,Republican,Southeast,0.6188232118873154
1984,MISSISSIPPI,Third_Party,Southeast,0.006943972185858312
1984,MISSOURI,Democrat,Midwest,0.39975249332122964
1984,MISSOURI,Republican,Midwest,0.6002475066787704
1984,MONTANA,Democrat,Rocky Mountain,0.381765818454278
1984,MONTANA,Republican,Rocky Mountain,0.6047448208399566
1984,MONTANA,Third_Party,Rocky Mountain,0.013489360705765433
1984,NEBRASKA,Democrat,Midwest,0.28809826864389887
