"","GEOID","NAME","total","white","black","aian","asian","twoormore","nhpi","hispanic","whiteperc","blackperc","aianperc","asianperc","twoormoreperc","nhpiperc","hispanicperc","year","state","region","Democrat","Republican","Third_Party"
"39","55","Wisconsin",5893718,4737545,376256,60428,175702,359534,2199,447290,0.803829602977272,0.0638401769477264,0.0102529506841013,0.0298117419258947,0.0610029187008947,0.000373109130772799,0.0758926708064417,2020,"WISCONSIN","Midwest",0.494495368614277,0.488224373196088,0.0172802581896344
"40","28","Mississippi",2961279,1658893,1084481,16450,32709,110732,1154,105220,0.5601947671935,0.366220474328829,0.00555503213307493,0.0110455651088601,0.0373933020157844,0.000389696479122703,0.0355319441363006,2020,"MISSISSIPPI","Southeast",0.410576064559786,0.576029545753825,0.0133943896863884
"41","29","Missouri",6154913,4740335,699840,30518,133377,413171,9730,303068,0.770170918744099,0.113704287940382,0.00495831541404403,0.021670005733631,0.0671286499094301,0.00158085093972896,0.0492400136281374,2020,"MISSOURI","Midwest",0.414087817361884,0.567996557788895,0.0179156248492215
"42","26","Michigan",10077331,7444974,1376579,61261,334300,635315,3051,564422,0.738784307074959,0.136601546580141,0.00607908979073923,0.0331734662680029,0.0630439746397136,0.000302758736415426,0.0560090762127393,2020,"MICHIGAN","Midwest",0.506208182908244,0.478372906911376,0.0154189101803801
"43","44","Rhode Island",1097379,782920,62168,7385,38961,101794,536,182101,0.713445400358491,0.0566513483491118,0.00672967133506291,0.0355036865112236,0.0927610242222605,0.000488436538333611,0.165941757587853,2020,"RHODE ISLAND","Northeast",0.594761987659336,0.386703804715759,0.0185342076249057
"44","27","Minnesota",5706494,4423146,398434,68641,299190,345721,2918,345640,0.775107447760394,0.0698211546354031,0.012028576565576,0.052429740572758,0.0605837840186987,0.000511347247539382,0.0605695896639863,2020,"MINNESOTA","Midwest",0.5239509930974,0.452849424091694,0.0231995828109061
"45","19","Iowa",3190369,2694521,131972,14486,75629,179283,5758,215986,0.84457973356687,0.0413657479746073,0.00454054060831208,0.0237054083712574,0.0561950670909854,0.00180480690478123,0.0676993789746578,2020,"IOWA","Midwest",0.446472328586637,0.528001976319458,0.0255256950939046
"46","35","New Mexico",2117522,1078937,45904,212241,37469,422246,2093,1010811,0.509528118243872,0.0216781691052088,0.100230835854362,0.0176947394171111,0.199405720460047,0.000988419482772788,0.477355607167246,2020,"NEW MEXICO","Southwest",0.542892858495722,0.434966692461295,0.0221404490429832
"47","32","Nevada",3104614,1588463,304739,43932,272703,434009,25011,890257,0.511645892210755,0.0981568078994683,0.0141505514051022,0.0878379727721385,0.139794834398093,0.00805607395959691,0.286752878135575,2020,"NEVADA","Rocky Mountain",0.50056781957284,0.476662473245594,0.0227697071815656
"48","10","Delaware",989948,597763,218899,5148,42699,76518,412,104290,0.603832726567456,0.221121715484046,0.00520027314566018,0.0431325685793597,0.0772949690286762,0.000416183476303806,0.105348967824573,2020,"DELAWARE","Northeast",0.587430057936417,0.397748767711055,0.0148211743525278
"49","72","Puerto Rico",3285874,560592,228711,17870,4001,1635791,593,3249043,0.170606663554354,0.0696043122773423,0.00543843129712217,0.0012176364644536,0.497825236147217,0.000180469488483125,0.988791110066911,NA,NA,NA,NA,NA,NA
"50","21","Kentucky",4505836,3711254,362417,12801,74426,244840,3681,207854,0.823654922194239,0.0804327987081643,0.00284098222838115,0.0165176895031244,0.054338417998347,0.000816940518918132,0.0461299523551234,2020,"KENTUCKY","Southeast",0.36151514811154,0.620865718692904,0.0176191331955552
"51","46","South Dakota",886667,715336,17842,77748,13476,46665,543,38741,0.80676962151518,0.0201225488261095,0.0876856813211724,0.0151984905268833,0.0526296794625265,0.000612405784809855,0.0436928407169772,2020,"SOUTH DAKOTA","Midwest",0.356052521361353,0.617693896722502,0.0262535819161447
"52","47","Tennessee",6910840,4990938,1092948,28044,135615,412898,4115,479187,0.722189777219557,0.158149805233517,0.00405797269217635,0.0196235189933496,0.0597464273518125,0.000595441364580861,0.0693384595794433,2020,"TENNESSEE","Southeast",0.374514342710237,0.606602941662838,0.0188827156269248
