"","year","state","new_party","party_total"
"208",1980,"MAINE","Democrat",0.422503541990513
"209",1980,"MAINE","Republican",0.456055417572479
"210",1980,"MAINE","Third_Party",0.121441040437008
"211",1980,"MARYLAND","Democrat",0.471381295374996
"212",1980,"MARYLAND","Republican",0.441809650917627
"213",1980,"MARYLAND","Third_Party",0.0868090537073774
"214",1980,"MASSACHUSETTS","Democrat",0.417497791283195
"215",1980,"MASSACHUSETTS","Republican",0.419014773641193
"216",1980,"MASSACHUSETTS","Third_Party",0.163487435075611
"217",1980,"MICHIGAN","Democrat",0.424974135009496
"218",1980,"MICHIGAN","Republican",0.489861818925884
"219",1980,"MICHIGAN","Third_Party",0.0851640460646209
"220",1980,"MINNESOTA","Democrat",0.465015624421273
"221",1980,"MINNESOTA","Republican",0.42558662245433
"222",1980,"MINNESOTA","Third_Party",0.109397753124397
"223",1980,"MISSISSIPPI","Democrat",0.481391645640594
"224",1980,"MISSISSIPPI","Republican",0.494633024950939
"225",1980,"MISSISSIPPI","Third_Party",0.0239753294084665
"226",1980,"MISSOURI","Democrat",0.443457165933907
"227",1980,"MISSOURI","Republican",0.511557635306578
"228",1980,"MISSOURI","Third_Party",0.0449851987595151
"229",1980,"MONTANA","Democrat",0.324306501956302
"230",1980,"MONTANA","Republican",0.568245263111619
"231",1980,"MONTANA","Third_Party",0.107448234932079
"232",1980,"NEBRASKA","Democrat",0.260227384669751
"233",1980,"NEBRASKA","Republican",0.655500185291455
"234",1980,"NEBRASKA","Third_Party",0.0842724300387939
"235",1980,"NEVADA","Democrat",0.273566633291204
"236",1980,"NEVADA","Republican",0.636118543078969
"237",1980,"NEVADA","Third_Party",0.0903148236298278
"238",1980,"NEW HAMPSHIRE","Democrat",0.283507383004766
"239",1980,"NEW HAMPSHIRE","Republican",0.577371806557462
"240",1980,"NEW HAMPSHIRE","Third_Party",0.139120810437772
"241",1980,"NEW JERSEY","Democrat",0.385579920448542
"242",1980,"NEW JERSEY","Republican",0.519731597844395
"243",1980,"NEW JERSEY","Third_Party",0.094688481707063
"244",1980,"NEW MEXICO","Democrat",0.367848289375916
"245",1980,"NEW MEXICO","Republican",0.549668264520414
"246",1980,"NEW MEXICO","Third_Party",0.0824834461036698
"247",1980,"NEW YORK","Democrat",0.439920999155267
"248",1980,"NEW YORK","Republican",0.425301102441986
"249",1980,"NEW YORK","Third_Party",0.134777898402747
"250",1980,"NORTH CAROLINA","Democrat",0.471828553539031
"251",1980,"NORTH CAROLINA","Republican",0.493049751782623
"252",1980,"NORTH CAROLINA","Third_Party",0.0351216946783466
"253",1980,"NORTH DAKOTA","Democrat",0.262985029025359
"254",1980,"NORTH DAKOTA","Republican",0.643257083648826
"255",1980,"NORTH DAKOTA","Third_Party",0.0937578873258146
"256",1980,"OHIO","Democrat",0.409098135378092
"257",1980,"OHIO","Republican",0.515114262456161
"258",1980,"OHIO","Third_Party",0.0757876021657469
"259",1980,"OKLAHOMA","Democrat",0.349676613540134
"260",1980,"OKLAHOMA","Republican",0.604997094914535
"261",1980,"OKLAHOMA","Third_Party",0.0453262915453315
"262",1980,"OREGON","Democrat",0.386698106500462
"263",1980,"OREGON","Republican",0.483314656763006
"264",1980,"OREGON","Third_Party",0.129987236736532
"265",1980,"PENNSYLVANIA","Democrat",0.424759306202059
"266",1980,"PENNSYLVANIA","Republican",0.495861340378967
"267",1980,"PENNSYLVANIA","Third_Party",0.0793793534189733
"268",1980,"RHODE ISLAND","Democrat",0.47682147862691
"269",1980,"RHODE ISLAND","Republican",0.372128077467684
"270",1980,"RHODE ISLAND","Third_Party",0.151050443905406
"271",1980,"SOUTH CAROLINA","Democrat",0.482089663138413
"272",1980,"SOUTH CAROLINA","Republican",0.49453762307798
"273",1980,"SOUTH CAROLINA","Third_Party",0.0233727137836079
"274",1980,"SOUTH DAKOTA","Democrat",0.31691806300217
"275",1980,"SOUTH DAKOTA","Republican",0.605252316884496
"276",1980,"SOUTH DAKOTA","Third_Party",0.0778296201133343
"277",1980,"TENNESSEE","Democrat",0.484077185191047
"278",1980,"TENNESSEE","Republican",0.486988877459174
"279",1980,"TENNESSEE","Third_Party",0.0289339373497789
"280",1980,"TEXAS","Democrat",0.414200301389191
"281",1980,"TEXAS","Republican",0.552819512616159
"282",1980,"TEXAS","Third_Party",0.0329801859946504
"283",1980,"UTAH","Democrat",0.20568664839312
"284",1980,"UTAH","Republican",0.727775460480144
"285",1980,"UTAH","Third_Party",0.0665378911267363
"286",1980,"VERMONT","Democrat",0.384211834092049
"287",1980,"VERMONT","Republican",0.443640148336373
"288",1980,"VERMONT","Third_Party",0.172148017571578
"289",1980,"VIRGINIA","Democrat",0.40308740686119
"290",1980,"VIRGINIA","Republican",0.530327990088059
"291",1980,"VIRGINIA","Third_Party",0.0665846030507515
"292",1980,"WASHINGTON","Democrat",0.373160720250414
"293",1980,"WASHINGTON","Republican",0.496583436352513
"294",1980,"WASHINGTON","Third_Party",0.130255843397073
"295",1980,"WEST VIRGINIA","Democrat",0.498108348074799
"296",1980,"WEST VIRGINIA","Republican",0.453028608609016
"297",1980,"WEST VIRGINIA","Third_Party",0.0488630433161858
"298",1980,"WISCONSIN","Democrat",0.43180315508259
"299",1980,"WISCONSIN","Republican",0.478987744702341
"300",1980,"WISCONSIN","Third_Party",0.0892091002150693
"301",1980,"WYOMING","Democrat",0.27970211586018
"302",1980,"WYOMING","Republican",0.626439480966313
"303",1980,"WYOMING","Third_Party",0.0938584031735073
"304",1984,"ALABAMA","Democrat",0.382807812650645
"305",1984,"ALABAMA","Republican",0.605424935476062
"306",1984,"ALABAMA","Third_Party",0.0117672518732924
"307",1984,"ALASKA","Democrat",0.298677777510176
"308",1984,"ALASKA","Republican",0.666539823221984
"309",1984,"ALASKA","Third_Party",0.0347823992678404
"310",1984,"ARIZONA","Democrat",0.325426431698309
"311",1984,"ARIZONA","Republican",0.664214828584156
"312",1984,"ARIZONA","Third_Party",0.010358739717535
"313",1984,"ARKANSAS","Democrat",0.382907850014586
"314",1984,"ARKANSAS","Republican",0.604670253254727
"315",1984,"ARKANSAS","Third_Party",0.012421896730687
"316",1984,"CALIFORNIA","Democrat",0.412677756992316
"317",1984,"CALIFORNIA","Republican",0.575169428516931
"318",1984,"CALIFORNIA","Third_Party",0.0121528144907529
"319",1984,"COLORADO","Democrat",0.351228983001127
"320",1984,"COLORADO","Republican",0.634421559696769
"321",1984,"COLORADO","Third_Party",0.0143494573021044
"322",1984,"CONNECTICUT","Democrat",0.388299815938373
"323",1984,"CONNECTICUT","Republican",0.607319517349513
"324",1984,"CONNECTICUT","Third_Party",0.00438066671211398
"325",1984,"DELAWARE","Democrat",0.399321213644863
